,prev_line,current_line
39,この負けが いつか お前らの人生で…,うぐっ うええ…
40,うぐっ うええ…,ムダじゃなかったと… 思えるときが きっと来る！
41,ムダじゃなかったと… 思えるときが きっと来る！,俺にとって この一難(いちなん)サッカー部は
42,俺にとって この一難(いちなん)サッカー部は,日本一のチームだ！
43,日本一のチームだ！,いや…
44,いや…,全国にも届かなかった 県予選で敗退したチームだ
45,全国にも届かなかった 県予選で敗退したチームだ,俺は そのチームの 無名の２年生フォワード
46,俺は そのチームの 無名の２年生フォワード,それが現実
47,それが現実,すみません ノア様
48,すみません ノア様,あなたのようなスーパースターに…
49,あなたのようなスーパースターに…,ダイレクトボレー！
50,ダイレクトボレー！,スーパーゴールだ～！
51,スーパーゴールだ～！,俺は なれそうにありません
52,俺は なれそうにありません,よっちゃん スゲえ！ 止まらねえ！
53,よっちゃん スゲえ！ 止まらねえ！,あなたに憧れて…
54,あなたに憧れて…,ナイッシュー！
55,ナイッシュー！,中学のレベルじゃねえ！
56,中学のレベルじゃねえ！,ずっとサッカーを続けてきました
57,ずっとサッカーを続けてきました,でも…
58,でも…,ワンフォーオール オールフォーワンだ
59,ワンフォーオール オールフォーワンだ,みんなで全国行くぞ！
60,みんなで全国行くぞ！,おおっ！
61,おおっ！,夢は夢で終わってしまいそうです
62,夢は夢で終わってしまいそうです,いつか日本代表の エースストライカーになって
63,いつか日本代表の エースストライカーになって,そして ワールドカップ優勝するっていう
64,そして ワールドカップ優勝するっていう,俺のアホみたいな夢が…
65,俺のアホみたいな夢が…,もし… あの場面で パスじゃなくて
66,もし… あの場面で パスじゃなくて,シュートを打ってたら…
67,シュートを打ってたら…,俺の運命は変わってたのかな？
68,俺の運命は変わってたのかな？,みんな 速(はえ)えって！　ハハハッ
69,みんな 速(はえ)えって！　ハハハッ,ワンフォーオール オールフォーワン…
70,ワンフォーオール オールフォーワン…,サッカーは11人でやるスポーツ
71,サッカーは11人でやるスポーツ,一人じゃ…
72,一人じゃ…,うああ～！ うわあ！
73,うああ～！ うわあ！,あああああ！
74,あああああ！,クソ… 勝ちたかった
75,クソ… 勝ちたかった,ただいま
76,ただいま,おかえり どうだった？　試合
77,おかえり どうだった？　試合,負けた 負けた おなかすいた～
78,負けた 負けた おなかすいた～,残念　今日は豚カツにしたのに
79,残念　今日は豚カツにしたのに,こういうのって 普通 前日に食うやつっしょ
80,こういうのって 普通 前日に食うやつっしょ,そうか？ うまいぞ 食え食え！
81,そうか？ うまいぞ 食え食え！,そういえば よっちゃん宛てに お手紙来てたよ
82,そういえば よっちゃん宛てに お手紙来てたよ,日本フットボール連合ってとこから
83,日本フットボール連合ってとこから,えっ？
84,えっ？,強化指定選手…
85,強化指定選手…,とりあえず いいことよね？
86,とりあえず いいことよね？,よく分からん
87,よく分からん,ハハハハハ！ フフッ…
88,ハハハハハ！ フフッ…,なんで 俺が…
89,なんで 俺が…,ここで合ってんのか？
90,ここで合ってんのか？,あれ？　一難の…
91,あれ？　一難の…,潔君… だよね？
92,潔君… だよね？,君も呼ばれたんだ やっぱり
93,君も呼ばれたんだ やっぱり,こないだは どうも 分かる？　俺のこと
94,こないだは どうも 分かる？　俺のこと,あっ！　吉良… 君
95,あっ！　吉良… 君,も… もちろんです こないだ負けた相手だし
96,も… もちろんです こないだ負けた相手だし,俺 めっちゃ覚えてるんだよね 君のこと
97,俺 めっちゃ覚えてるんだよね 君のこと,プレー視野 広いっつうか サッカーＩＱ 高いっつうか
98,プレー視野 広いっつうか サッカーＩＱ 高いっつうか,一緒のチームだったら めっちゃいいパスくれそうだなって
99,一緒のチームだったら めっちゃいいパスくれそうだなって,あ… あざす
100,あ… あざす,ウソ… マジか 吉良涼介(りょうすけ)に褒められた！
101,ウソ… マジか 吉良涼介(りょうすけ)に褒められた！,じゃあ 行こっか
102,じゃあ 行こっか,てか ここで何やるか 全然分かんねえのな
103,てか ここで何やるか 全然分かんねえのな,そっすね
104,そっすね,てか 敬語やめようよ 同い年だし
105,てか 敬語やめようよ 同い年だし,よろしく 潔君
106,よろしく 潔君,あっ… うっす
107,あっ… うっす,めっちゃいいヤツじゃん！
108,めっちゃいいヤツじゃん！,ここっぽいけど…
109,ここっぽいけど…,あっ！
110,あっ！,うわ… めっちゃいる
111,うわ… めっちゃいる,なんか見たことあるヤツいるなあ
112,なんか見たことあるヤツいるなあ,洗膿(せんのう)のエース 大川(おおかわ)
113,洗膿(せんのう)のエース 大川(おおかわ),高校ナンバーワン高身長の石狩(いしかり)
114,高校ナンバーワン高身長の石狩(いしかり),おっ 青森のメッシ 西岡(にしおか)もいるじゃん
115,おっ 青森のメッシ 西岡(にしおか)もいるじゃん,ん？ もしかして 全員フォワード…
116,ん？ もしかして 全員フォワード…,あっ！
117,あっ！,え～ あ～
118,え～ あ～,あ～ あ～ おめでとう 才能の原石どもよ
119,あ～ あ～ おめでとう 才能の原石どもよ,お前らは 俺の独断と偏見で選ばれた⸺
120,お前らは 俺の独断と偏見で選ばれた⸺,18歳以下のストライカー 300名です
121,18歳以下のストライカー 300名です,そして俺は絵心甚八(じんぱち)
122,そして俺は絵心甚八(じんぱち),日本をワールドカップ 優勝させるために
123,日本をワールドカップ 優勝させるために,雇われた人間だ
124,雇われた人間だ,えっ 今 なんつった？
125,えっ 今 なんつった？,ワールドカップ… 優勝？
126,ワールドカップ… 優勝？,誰だろ… 知ってる？
127,誰だろ… 知ってる？,あっ いや 全然
128,あっ いや 全然,シンプルに言おう
129,シンプルに言おう,日本サッカーが世界一になるために 必要なのは ただ一つ
130,日本サッカーが世界一になるために 必要なのは ただ一つ,革命的なストライカーの誕生です
131,革命的なストライカーの誕生です,俺は この300人の中から
132,俺は この300人の中から,世界一のストライカーをつくる 実験をする
133,世界一のストライカーをつくる 実験をする,これが そのための施設
134,これが そのための施設,“ブルーロック”
135,“ブルーロック”,お前らは 今日から ここで共同生活を行い
136,お前らは 今日から ここで共同生活を行い,俺の考えた 特殊なトップトレーニングを
137,俺の考えた 特殊なトップトレーニングを,こなしてもらう
138,こなしてもらう,家には帰れないし
139,家には帰れないし,今までのサッカー生活とは 決別してもらう
140,今までのサッカー生活とは 決別してもらう,しかし 断言する
141,しかし 断言する,ここでのサバイバルに勝ち抜き
142,ここでのサバイバルに勝ち抜き,299名を蹴散らして 最後に残る一人は
143,299名を蹴散らして 最後に残る一人は,世界一のストライカーになれる
144,世界一のストライカーになれる,説明は以上　よろしく
145,説明は以上　よろしく,あ… あいつ 何言ってんだ？
146,あ… あいつ 何言ってんだ？,あの すみません
147,あの すみません,今の説明では同意できません
148,今の説明では同意できません,僕らには それぞれ 大切なチームがあります
149,僕らには それぞれ 大切なチームがあります,全国大会を控えている選手もいます
150,全国大会を控えている選手もいます,そんな訳の分からないものに
151,そんな訳の分からないものに,僕はチームを捨てて 参加することはできません
152,僕はチームを捨てて 参加することはできません,そうだよ 俺も全国あんだよ！
153,そうだよ 俺も全国あんだよ！,いきなり共同生活とか 意味分かんねえし
154,いきなり共同生活とか 意味分かんねえし,てか お前 誰だよ
155,てか お前 誰だよ,ちゃんとした人間 出してよ！
156,ちゃんとした人間 出してよ！,そっか… 重症だな お前ら
157,そっか… 重症だな お前ら,ロック･オフ
158,ロック･オフ,帰りたいヤツは帰っていいよ
159,帰りたいヤツは帰っていいよ,あっ…
160,あっ…,世界一のストライカーに なることよりも
161,世界一のストライカーに なることよりも,こんなサッカー後進国の ハイスクールで 一番になるほうが
162,こんなサッカー後進国の ハイスクールで 一番になるほうが,大事か？　ああ？
163,大事か？　ああ？,お前らみたいなのが日本の未来 背負ってると思うと絶望だわ
164,お前らみたいなのが日本の未来 背負ってると思うと絶望だわ,え… はっ？
165,え… はっ？,いいか 日本サッカーの組織力は 一流だ
166,いいか 日本サッカーの組織力は 一流だ,他人を思いやる国民性の 賜物(たまもの)と言える
167,他人を思いやる国民性の 賜物(たまもの)と言える,でも それ以外は 間違いなく二流だ
168,でも それ以外は 間違いなく二流だ,お前らに聞く サッカーとは なんだ？
169,お前らに聞く サッカーとは なんだ？,11人で力を合わせて戦う？
170,11人で力を合わせて戦う？,絆を大事に？
171,絆を大事に？,献身的に？
172,献身的に？,仲間のために？
173,仲間のために？,だから この国のサッカーは いつまでたっても弱小なんだ
174,だから この国のサッカーは いつまでたっても弱小なんだ,教えてやる サッカーってのはな…
175,教えてやる サッカーってのはな…,相手より多く点を取るスポーツだ
176,相手より多く点を取るスポーツだ,点を取ったヤツが 一番偉いんだよ
177,点を取ったヤツが 一番偉いんだよ,仲良し絆ごっこ したいなら
178,仲良し絆ごっこ したいなら,ロック･オフ
179,ロック･オフ,なんだよ こいつ めちゃくちゃだろ
180,なんだよ こいつ めちゃくちゃだろ,不快です　撤回してください
181,不快です　撤回してください,日本代表には 尊敬する選手が いっぱいいる
182,日本代表には 尊敬する選手が いっぱいいる,僕たちは 彼らが11人で戦う姿を 見て育ったんです
183,僕たちは 彼らが11人で戦う姿を 見て育ったんです,彼らは僕のスターです！
184,彼らは僕のスターです！,あんた 間違ってるよ
185,あんた 間違ってるよ,ん？　日本代表？
186,ん？　日本代表？,ん～？
187,ん～？,そいつらって ワールドカップ優勝してなくない？
188,そいつらって ワールドカップ優勝してなくない？,世界一になる話 してんだけど 俺
189,世界一になる話 してんだけど 俺,くっ…
190,くっ…,“味方にアシストして １対０で勝つより”
191,“味方にアシストして １対０で勝つより”,“俺がハットトリック決めて ３対４で負けるほうが気持ちいい”
192,“俺がハットトリック決めて ３対４で負けるほうが気持ちいい”,ハッ！
193,ハッ！,メッシや クリスティアーノ･ ロナウドを抑えて
194,メッシや クリスティアーノ･ ロナウドを抑えて,バロンドールに輝いた⸺
195,バロンドールに輝いた⸺,今 世界一のストライカー ノエル･ノアの言葉だ
196,今 世界一のストライカー ノエル･ノアの言葉だ,エリック･カントナいわく
197,エリック･カントナいわく,“チームなんて どうでもいい 俺が目立てばいい”
198,“チームなんて どうでもいい 俺が目立てばいい”,ペレいわく
199,ペレいわく,“世界一のフォワード ミッドフィルダー”
200,“世界一のフォワード ミッドフィルダー”,“ディフェンダー ゴールキーパー”
201,“ディフェンダー ゴールキーパー”,“どれを聞かれても 自分だと答える”
202,“どれを聞かれても 自分だと答える”,どうだ！　最悪だろ？
203,どうだ！　最悪だろ？,でも こいつらが ナンバーワンなんだ！
204,でも こいつらが ナンバーワンなんだ！,そして全員が 希代のエゴイストだ！
205,そして全員が 希代のエゴイストだ！,日本サッカーに足りないのは それなんだよ
206,日本サッカーに足りないのは それなんだよ,世界一のエゴイストでなければ 世界一のストライカーにはなれない
207,世界一のエゴイストでなければ 世界一のストライカーにはなれない,こいつの言ってることは…
208,こいつの言ってることは…,この国に俺は そんな人間を誕生させたい
209,この国に俺は そんな人間を誕生させたい,きっと間違ってる
210,きっと間違ってる,この299名の屍(しかばね)の上に立つ…
211,この299名の屍(しかばね)の上に立つ…,たった一人の英雄を
212,たった一人の英雄を,無理だ だって俺は なんの実績もない
213,無理だ だって俺は なんの実績もない,想像しろ 舞台はワールドカップ決勝
214,想像しろ 舞台はワールドカップ決勝,８万人の大観衆 お前は そのピッチにいる
215,８万人の大観衆 お前は そのピッチにいる,スコアは０対０ 後半アディショナルタイム
216,スコアは０対０ 後半アディショナルタイム,ラストプレー
217,ラストプレー,味方からのパスに抜け出したお前は ゴールキーパーと１対１
218,味方からのパスに抜け出したお前は ゴールキーパーと１対１,右６メートルには味方が１人
219,右６メートルには味方が１人,パスを出せば 確実に１点が奪える場面
220,パスを出せば 確実に１点が奪える場面,全国民の期待 優勝の懸かった そんな局面で
221,全国民の期待 優勝の懸かった そんな局面で,迷わず打ち抜ける
222,迷わず打ち抜ける,そんなイカれたエゴイストだけ…
223,そんなイカれたエゴイストだけ…,この先へ進め
224,この先へ進め,常識を捨てろ ピッチの上では お前が主役だ
225,常識を捨てろ ピッチの上では お前が主役だ,こんなの 誰も教えてくれなかった
226,こんなの 誰も教えてくれなかった,己のゴールを何よりの喜びとし その瞬間のためだけに生きろ
227,己のゴールを何よりの喜びとし その瞬間のためだけに生きろ,それが ストライカーだろ？
228,それが ストライカーだろ？,俺は ストライカーだ！
229,俺は ストライカーだ！,潔君…
230,潔君…,行ってやるよ クソが！
231,行ってやるよ クソが！,俺もだ！ 俺も！
232,俺もだ！ 俺も！,うっ…
233,うっ…,ヒヒヒッ
234,ヒヒヒッ,始めようか
235,始めようか,世界で一番 フットボールの熱い場所を
236,世界で一番 フットボールの熱い場所を,それが ブルーロック
237,それが ブルーロック,299Ｚだから… Ｚか
238,299Ｚだから… Ｚか,あ… あった
239,あ… あった,潔君 あっ
240,潔君 あっ,よかった～ 知ってる人が同じ部屋で
241,よかった～ 知ってる人が同じ部屋で,吉良君…
242,吉良君…,ハハッ 俺も安心する
243,ハハッ 俺も安心する,うわっ！ あっ わりい
244,うわっ！ あっ わりい,服 飛んだ
245,服 飛んだ,あ… 全然大丈夫です
246,あ… 全然大丈夫です,これ…
247,これ…,下 気をつけろ へっ？
248,下 気をつけろ へっ？,うわっ！
249,うわっ！,ヘイ ジーコ… パス
250,ヘイ ジーコ… パス,ちゃんと出せ ジーコ…
251,ちゃんと出せ ジーコ…,どんな夢 見てんだ？
252,どんな夢 見てんだ？,君 あの吉良涼介？
253,君 あの吉良涼介？,スゲえ 本物じゃん！
254,スゲえ 本物じゃん！,あ… ありがと
255,あ… ありがと,ん？　あっ よろしく
256,ん？　あっ よろしく,俺 五十嵐栗夢(ぐりむ) っていいます
257,俺 五十嵐栗夢(ぐりむ) っていいます,あ… どうも
258,あ… どうも,俺さ 寺の息子なんだけど ぜってえ継ぎたくなくてさ
259,俺さ 寺の息子なんだけど ぜってえ継ぎたくなくてさ,だから さっき あいつの話聞いて震えたね
260,だから さっき あいつの話聞いて震えたね,人生変えるチャンス来た～！ って感じ
261,人生変えるチャンス来た～！ って感じ,着替えは終わったか？ 才能の原石どもよ
262,着替えは終わったか？ 才能の原石どもよ,あっ…
263,あっ…,やあやあ
264,やあやあ,今 同じ部屋にいるメンバーは ルームメイトであり
265,今 同じ部屋にいるメンバーは ルームメイトであり,高め合うライバルだ
266,高め合うライバルだ,お前らの能力は
267,お前らの能力は,俺の独断と偏見で数値化され ランキングされてる
268,俺の独断と偏見で数値化され ランキングされてる,ユニフォームにある数字が それだ
269,ユニフォームにある数字が それだ,300人中 何位かが 一目で分かるようになっている
270,300人中 何位かが 一目で分かるようになっている,299位… ヤバッ 俺 低すぎ
271,299位… ヤバッ 俺 低すぎ,そのランキングは トレーニングや ゲームの結果でアップダウンする
272,そのランキングは トレーニングや ゲームの結果でアップダウンする,そして 上位５名は無条件で
273,そして 上位５名は無条件で,６か月後に行われる大会⸺
274,６か月後に行われる大会⸺,Ｕ-20ワールドカップ フォワード登録選手とする
275,Ｕ-20ワールドカップ フォワード登録選手とする,えっ！
276,えっ！,Ｕ-20 日本代表？
277,Ｕ-20 日本代表？,ちなみに
278,ちなみに,ブルーロックで敗れるヤツは この先…
279,ブルーロックで敗れるヤツは この先…,一生 日本代表に入る権利を失う
280,一生 日本代表に入る権利を失う,なっ…
281,なっ…,ここで勝ち上がるために 必要なのはエゴだ
282,ここで勝ち上がるために 必要なのはエゴだ,今から それを測るテストを行う
283,今から それを測るテストを行う,さあ オニごっこの時間だ
284,さあ オニごっこの時間だ,制限時間は136秒
285,制限時間は136秒,ボールに当たったヤツが オニとなり
286,ボールに当たったヤツが オニとなり,タイムアップの瞬間に オニだった者が
287,タイムアップの瞬間に オニだった者が,ロック･オフ野郎です
288,ロック･オフ野郎です,え… はっ？
289,え… はっ？,あと ハンド禁止ね～
290,あと ハンド禁止ね～,え…
291,え…,は？ これ サッカーじゃねえじゃん
292,は？ これ サッカーじゃねえじゃん,最底辺の俺が 最初のオニかよ…
293,最底辺の俺が 最初のオニかよ…,やってやんよ
294,やってやんよ,恨みっこなしだぜ
295,恨みっこなしだぜ,ちょ… 待てよ
296,ちょ… 待てよ,あいつの言ってること 信じてんのかよ
297,あいつの言ってること 信じてんのかよ,マジだったら どうすんだよ！
298,マジだったら どうすんだよ！,俺は やるぜ
299,俺は やるぜ,負けたら 一生 寺の坊主
300,負けたら 一生 寺の坊主,ここで負けた人間は 一生 日本代表にはなれない
301,ここで負けた人間は 一生 日本代表にはなれない,うおらあ～！
302,うおらあ～！,ちょ… こっち来んなし！
303,ちょ… こっち来んなし！,悪いな 潔君
304,悪いな 潔君,えっ？ 南無三(なむさん)！
305,えっ？ 南無三(なむさん)！,うおっ！
306,うおっ！,だっ… クソッ！
307,だっ… クソッ！,バカげてるよ こんなの
308,バカげてるよ こんなの,俺は あいつを否定するために ここに参加したんだ
309,俺は あいつを否定するために ここに参加したんだ,らあっ！
310,らあっ！,ふざけんな てめえ！
311,ふざけんな てめえ！,こんなの絶対 間違ってる
312,こんなの絶対 間違ってる,俺の未来 潰されてたまるかよ
313,俺の未来 潰されてたまるかよ,だあ～ クソッ 当たんねえ ヤベえ！
314,だあ～ クソッ 当たんねえ ヤベえ！,あっ… ヘヘッ
315,あっ… ヘヘッ,こいつ まだ寝てやがる
316,こいつ まだ寝てやがる,もらった！
317,もらった！,へぐっ…
318,へぐっ…,あっ！
319,あっ！,ぐっ…
320,ぐっ…,おい！　ファウルだろ ファウル！
321,おい！　ファウルだろ ファウル！,こんなん 試合だったら 一発レッド…
322,こんなん 試合だったら 一発レッド…,禁止なのはハンドだけでしょ？
323,禁止なのはハンドだけでしょ？,おはよ
324,おはよ,なんじゃ こいつ！
325,なんじゃ こいつ！,おい
326,おい,汚いやり方は嫌いだ 正々堂々と戦え
327,汚いやり方は嫌いだ 正々堂々と戦え,マジメ君ですか？
328,マジメ君ですか？,しゃあ 隙あり！　南無三
329,しゃあ 隙あり！　南無三,にゃろう…
330,にゃろう…,イガグリ 潰す！
331,イガグリ 潰す！,ヘイ！ ちょ…
332,ヘイ！ ちょ…,やめ…
333,やめ…,ごふっ！
334,ごふっ！,南無三 潔君！
335,南無三 潔君！,あっ わりい… お前じゃねえ
336,あっ わりい… お前じゃねえ,ゴホッ！　ハア ハア…
337,ゴホッ！　ハア ハア…,ヤバい
338,ヤバい,当てなきゃ終わる… 俺のサッカー人生が
339,当てなきゃ終わる… 俺のサッカー人生が,あと１分で…
340,あと１分で…,こんなとこで終わりたくない！
341,こんなとこで終わりたくない！,うっ！
342,うっ！,うおっ！ セーフ！
343,うおっ！ セーフ！,身体能力 高(たけ)え
344,身体能力 高(たけ)え,これじゃ 適当に蹴っても当たんねえ
345,これじゃ 適当に蹴っても当たんねえ,狙うなら 俺よりランキング低い あいつか！
346,狙うなら 俺よりランキング低い あいつか！,うおらあ！ 全力で逃げきったるぜ～！
347,うおらあ！ 全力で逃げきったるぜ～！,てか マジで こんなんで 俺の未来 決まんのかよ
348,てか マジで こんなんで 俺の未来 決まんのかよ,ヤバい… ヤバいって
349,ヤバい… ヤバいって,嫌だ… 負けたくない 終わりたくない！
350,嫌だ… 負けたくない 終わりたくない！,なんでもいい　勝ちたい！
351,なんでもいい　勝ちたい！,まだサッカーを続けたい
352,まだサッカーを続けたい,夢を終わりにしたくない！
353,夢を終わりにしたくない！,ニャハハッ
354,ニャハハッ,てめ… こら！
355,てめ… こら！,降りろ… おい！ チャンスだよ～ん
356,降りろ… おい！ チャンスだよ～ん,てめえ こら 放せ！
357,てめえ こら 放せ！,行けよ ほら あっち！
358,行けよ ほら あっち！,だから 正々堂々 やれっつってんだろが！
359,だから 正々堂々 やれっつってんだろが！,どわっ！
360,どわっ！,いてて…
361,いてて…,早く どけ お前！
362,早く どけ お前！,うっ…
363,うっ…,あ… ヤベッ
364,あ… ヤベッ,ちょ… タイム
365,ちょ… タイム,潔君 当てろ！　今のうちに！
366,潔君 当てろ！　今のうちに！,おっ おい 待て 来んな… 来んなって！
367,おっ おい 待て 来んな… 来んなって！,終わりたくねえよ 俺 こんなとこで！
368,終わりたくねえよ 俺 こんなとこで！,勝てる… 生き残れる
369,勝てる… 生き残れる,やめろ…
370,やめろ…,でも こいつのサッカー人生は終わる
371,でも こいつのサッカー人生は終わる,いや… やらなきゃ
372,いや… やらなきゃ,ここは そういう場所だ
373,ここは そういう場所だ,勝つってことは 負けるヤツがいるってことで
374,勝つってことは 負けるヤツがいるってことで,俺が夢をかなえるってことは 誰かの夢を終わらせるってことだ
375,俺が夢をかなえるってことは 誰かの夢を終わらせるってことだ,へっ？
376,へっ？,違うな…
377,違うな…,このままじゃ 今までの俺と同じだ
378,このままじゃ 今までの俺と同じだ,人生 変えに来てんだよ
379,人生 変えに来てんだよ,世界一になりに来てんだよ
380,世界一になりに来てんだよ,自分より強いヤツに勝たなきゃ
381,自分より強いヤツに勝たなきゃ,何も変われない！
382,何も変われない！,いいね 君
383,いいね 君,えっ…
384,えっ…,だよね　潰すなら…
385,だよね　潰すなら…,一番強いヤツっしょ
386,一番強いヤツっしょ,えっ？
387,えっ？,俺かよ！
388,俺かよ！,ヒヒッ
389,ヒヒッ,ある者は言った
390,ある者は言った,フットボールの世界において
391,フットボールの世界において,一流のゴールキーパーや ディフェンダー
392,一流のゴールキーパーや ディフェンダー,ミッドフィルダーは 育てることができるが
393,ミッドフィルダーは 育てることができるが,ストライカーだけは その類いではない
394,ストライカーだけは その類いではない,一流のストライカーという生き物は
395,一流のストライカーという生き物は,そのとき 最もフットボールの熱い場所に…
396,そのとき 最もフットボールの熱い場所に…,一番… 強いヤツ
397,一番… 強いヤツ,ボン！
398,ボン！,うぐっ！
399,うぐっ！,突如として出現する
400,突如として出現する,父さんも母さんも
401,父さんも母さんも,サッカーのことは よく分からないけど
402,サッカーのことは よく分からないけど,ＪＦＵに選ばれるなんて すごいな　世一
403,ＪＦＵに選ばれるなんて すごいな　世一,そうね
404,そうね,よっちゃんは サッカーだけは
405,よっちゃんは サッカーだけは,小さい頃から ずっと上手だったもんね～
406,小さい頃から ずっと上手だったもんね～,うん
407,うん,まあね
408,まあね,サンタさんからのプレゼントも
409,サンタさんからのプレゼントも,ワールドカップの 優勝トロフィーって言ってたし
410,ワールドカップの 優勝トロフィーって言ってたし,将来の夢は ずっと 世界一のストライカーだったしね
411,将来の夢は ずっと 世界一のストライカーだったしね,もうやめてよ　恥ずかしい
412,もうやめてよ　恥ずかしい,サッカーの試合中は テレビにかじりついて熱中してて
413,サッカーの試合中は テレビにかじりついて熱中してて,チャンネル変えたら ギャン泣きしてたし
414,チャンネル変えたら ギャン泣きしてたし,ちょっとだけニュースを…
415,ちょっとだけニュースを…,イヤだ～
416,イヤだ～,そうそう
417,そうそう,あと 泣いたら すぐ寝ちゃうし
418,あと 泣いたら すぐ寝ちゃうし,寝たら 大体 忘れるし
419,寝たら 大体 忘れるし,それで 宿題やるのも よく忘れてたし
420,それで 宿題やるのも よく忘れてたし,だから学校の成績 そんなよくないし
421,だから学校の成績 そんなよくないし,いや～ ほんと 選ばれてよかったな　世一
422,いや～ ほんと 選ばれてよかったな　世一,だね～
423,だね～,なんか… 最後のほうディスってない？
424,俺は ストライカーだ！,ある者は言った
425,ある者は言った,フットボールの世界において
426,フットボールの世界において,一流のゴールキーパーや ディフェンダー
427,一流のゴールキーパーや ディフェンダー,ミッドフィルダーは 育てることができるが
428,ミッドフィルダーは 育てることができるが,ストライカーだけは その類いではない
429,ストライカーだけは その類いではない,一流のストライカーという生き物は
430,一流のストライカーという生き物は,そのとき 最もフットボールの熱い場所に
431,そのとき 最もフットボールの熱い場所に,突如として出現する
432,突如として出現する,はっきり申し上げます
433,はっきり申し上げます,このままでは 日本サッカーは未来永劫(えいごう)…
434,このままでは 日本サッカーは未来永劫(えいごう)…,ワールドカップ優勝は 不可能かと
435,ワールドカップ優勝は 不可能かと,儲(もう)かってるからいいじゃん
436,儲(もう)かってるからいいじゃん,結局 サッカーってビジネスだよ
437,結局 サッカーってビジネスだよ,もしかして アンリちゃん 本気で信じてんの？
438,もしかして アンリちゃん 本気で信じてんの？,日本が優勝できるって
439,日本が優勝できるって,当たり前だろ 銭ゲバだぬき
440,当たり前だろ 銭ゲバだぬき,それが私の夢だっつうの！
441,それが私の夢だっつうの！,自分たちのサッカーをすれば 勝てる？
442,自分たちのサッカーをすれば 勝てる？,日本のパスサッカーは 世界に通用する？
443,日本のパスサッカーは 世界に通用する？,そんなこと言ってっから いつまでもベスト16止まりなんだよ
444,そんなこと言ってっから いつまでもベスト16止まりなんだよ,まあ 君がアイデア出して コソコソ根回しして
445,まあ 君がアイデア出して コソコソ根回しして,始まっちゃったんだからさ
446,始まっちゃったんだからさ,結果出なかったら 責任取ってもらうから
447,結果出なかったら 責任取ってもらうから,私は信じています
448,私は信じています,日本サッカーを ぶち壊し
449,日本サッカーを ぶち壊し,この国をワールドカップ優勝に 導くプレイヤーを
450,この国をワールドカップ優勝に 導くプレイヤーを,誕生させることができるのは
451,誕生させることができるのは,この男しかいないと！
452,この男しかいないと！,絵心甚八(じんぱち)
453,絵心甚八(じんぱち),潔君…
454,潔君…,何… やってんの？
455,何… やってんの？,えっ どういうこと？　何これ…
456,えっ どういうこと？　何これ…,ごめん　その だって… 急にボールが来たから…
457,ごめん　その だって… 急にボールが来たから…,はあ？　ふざけん…
458,はあ？　ふざけん…,才能の原石どもよ ここでは結果が全てだ
459,才能の原石どもよ ここでは結果が全てだ,敗れた者は出ていけ
460,敗れた者は出ていけ,吉良涼介(りょうすけ) 失格
461,吉良涼介(りょうすけ) 失格,ハッ…
462,ハッ…,ふざけんなよ
463,ふざけんなよ,こんなやり方で… こんな遊びで
464,こんなやり方で… こんな遊びで,なんで俺が…
465,なんで俺が…,俺の将来が 潰されなきゃなんねえんだよ！
